RamanShift:204		
0.351	-128.5	
4.587	-27.28	
8.82	-10.03	
13.049	-6.72	
17.275	-7.71	
21.497	1.91	
25.716	3.23	
29.931	-2.07	
34.142	-1.41	
38.351	-0.08	
42.555	2.9	
46.756	0.58	
50.954	-3.73	
55.148	0.91	
59.339	0.25	
63.527	-0.41	
67.71	-3.07	
71.891	-2.4	
76.068	-0.08	
80.241	5.22	
84.411	2.57	
88.578	3.57	
92.741	0.58	
96.901	2.24	
101.057	2.57	
105.21	5.56	
109.359	4.89	
113.505	3.57	
117.648	7.88	
121.787	7.88	
125.923	10.86	
130.055	14.18	
134.184	12.19	
138.31	14.51	
142.432	17.83	
146.551	18.49	
150.667	19.82	
154.779	24.46	
158.887	26.12	
162.993	28.44	
167.095	37.39	
171.193	38.06	
175.289	38.39	
179.381	40.05	
183.469	47.01	
187.554	48.01	
191.636	51.32	
195.715	53.31	
199.79	46.68	
203.862	49.67	
207.931	54.97	
211.996	49.33	
216.058	52.98	
220.116	53.65	
224.172	49	
228.224	49.33	
232.272	50.66	
236.318	52.98	
240.36	51.66	
244.399	54.64	
248.434	50.66	
252.466	48.34	
256.495	56.96	
260.521	53.31	
264.544	49	
268.563	50	
272.579	53.65	
276.591	52.65	
280.601	57.96	
284.607	65.92	
288.61	81.51	
292.609	104.06	
296.606	128.6	
300.599	138.22	
304.589	134.9	
308.575	120.97	
312.559	104.72	
316.539	98.75	
320.516	98.42	
324.49	117.66	
328.461	134.24	
332.428	147.84	
336.392	135.24	
340.353	124.95	
344.311	108.7	
348.266	96.43	
352.217	87.48	
356.165	75.54	
360.11	63.26	
364.052	64.59	
367.991	65.25	
371.926	65.59	
375.859	67.24	
379.788	75.2	
383.714	75.2	
387.637	67.24	
391.557	67.91	
395.473	56.3	
399.387	58.29	
403.297	46.35	
407.204	60.61	
411.108	56.96	
415.009	50	
418.907	42.04	
422.802	44.03	
426.693	40.05	
430.581	35.4	
434.467	35.74	
438.349	34.74	
442.228	33.41	
446.104	31.76	
449.977	33.41	
453.847	38.39	
457.713	44.69	
461.577	54.97	
465.438	69.9	
469.295	87.81	
473.149	89.8	
477.001	92.78	
480.849	83.5	
484.694	80.84	
488.536	66.58	
492.375	49	
496.211	43.36	
500.044	46.02	
503.874	44.36	
507.701	44.36	
511.525	44.69	
515.346	40.05	
519.163	40.05	
522.978	41.04	
526.79	39.72	
530.598	35.74	
534.404	36.07	
538.207	35.4	
542.006	31.42	
545.803	32.09	
549.596	30.43	
553.387	26.78	
557.175	27.11	
560.959	26.45	
564.741	23.46	
568.519	26.12	
572.295	27.78	
576.068	23.8	
579.837	23.46	
583.604	25.79	
587.368	27.11	
591.128	30.1	
594.886	26.12	
598.641	28.44	
602.393	34.74	
606.142	28.11	
609.887	27.78	
613.63	33.75	
617.37	35.07	
621.108	38.39	
624.842	43.03	
628.573	53.98	
632.301	55.3	
636.027	61.94	
639.749	65.25	
643.468	66.91	
647.185	73.21	
650.899	92.12	
654.609	127.94	
658.317	194.61	
662.022	308.04	
665.724	452.66	
669.423	524.65	
673.119	466.93	
676.813	332.59	
680.503	196.26	
684.191	125.95	
687.875	99.75	
691.557	107.38	
695.236	128.6	
698.912	150.49	
702.585	176.36	
706.256	166.74	
709.923	139.88	
713.588	98.09	
717.249	71.56	
720.908	58.29	
724.564	38.72	
728.217	35.4	
731.868	28.44	
735.515	31.76	
739.16	27.11	
742.801	31.76	
746.44	23.8	
750.076	25.45	
753.71	22.47	
757.34	28.44	
760.968	23.8	
764.593	23.8	
768.215	21.14	
771.834	25.45	
775.45	29.43	
779.064	23.46	
782.675	23.8	
786.283	26.12	
789.888	27.11	
793.49	29.43	
797.09	29.77	
800.686	33.08	
804.281	45.69	
807.872	53.98	
811.46	60.28	
815.046	60.94	
818.629	67.91	
822.209	58.62	
825.786	59.62	
829.361	69.9	
832.933	77.53	
836.502	98.09	
840.068	127.28	
843.632	158.45	
847.193	186.65	
850.751	242.37	
854.306	283.17	
857.859	292.45	
861.409	288.81	
